Experiment Log: VAE with BN
Epoch: 1, train_loss=-197.313353, valid_loss=-155.267317
Epoch: 2, train_loss=-150.732467, valid_loss=-146.101005
Epoch: 3, train_loss=-142.068024, valid_loss=-137.507352
Epoch: 4, train_loss=-134.445698, valid_loss=-131.452138
Epoch: 5, train_loss=-129.828223, valid_loss=-128.175376
Epoch: 6, train_loss=-127.102484, valid_loss=-125.868412
Epoch: 7, train_loss=-125.189328, valid_loss=-124.478529
Epoch: 8, train_loss=-123.892815, valid_loss=-123.308636
Epoch: 9, train_loss=-122.953347, valid_loss=-122.473611
Epoch: 10, train_loss=-122.066335, valid_loss=-121.998807
Epoch: 11, train_loss=-121.502882, valid_loss=-121.274530
Epoch: 12, train_loss=-120.931393, valid_loss=-120.865817
Epoch: 13, train_loss=-120.412667, valid_loss=-120.480657
Epoch: 14, train_loss=-120.049288, valid_loss=-119.922501
Epoch: 15, train_loss=-119.678664, valid_loss=-119.745668
Epoch: 16, train_loss=-119.309674, valid_loss=-119.465734
Epoch: 17, train_loss=-118.903791, valid_loss=-118.951648
Epoch: 18, train_loss=-118.486206, valid_loss=-118.566544
Epoch: 19, train_loss=-118.113076, valid_loss=-118.309457
Epoch: 20, train_loss=-117.845829, valid_loss=-118.067178
Epoch: 21, train_loss=-117.499199, valid_loss=-117.636304
Epoch: 22, train_loss=-117.279296, valid_loss=-117.391065
Epoch: 23, train_loss=-116.996785, valid_loss=-117.085738
Epoch: 24, train_loss=-116.765247, valid_loss=-116.916574
Epoch: 25, train_loss=-116.503697, valid_loss=-116.508500
Epoch: 26, train_loss=-116.198411, valid_loss=-116.393042
Epoch: 27, train_loss=-115.956936, valid_loss=-116.186178
Epoch: 28, train_loss=-115.845318, valid_loss=-115.907962
Epoch: 29, train_loss=-115.551471, valid_loss=-115.768460
Epoch: 30, train_loss=-115.420955, valid_loss=-115.526602
Epoch: 31, train_loss=-115.236564, valid_loss=-115.603240
Epoch: 32, train_loss=-115.070318, valid_loss=-115.153283
Epoch: 33, train_loss=-114.856491, valid_loss=-115.062983
Epoch: 34, train_loss=-114.710981, valid_loss=-114.956066
Epoch: 35, train_loss=-114.594429, valid_loss=-114.827899
Epoch: 36, train_loss=-114.393388, valid_loss=-114.695819
Epoch: 37, train_loss=-114.233061, valid_loss=-114.496185
Epoch: 38, train_loss=-114.144223, valid_loss=-114.395762
Epoch: 39, train_loss=-113.995843, valid_loss=-114.352911
Epoch: 40, train_loss=-113.848512, valid_loss=-114.090179
Epoch: 41, train_loss=-113.716081, valid_loss=-113.982987
Epoch: 42, train_loss=-113.572284, valid_loss=-113.878075
Epoch: 43, train_loss=-113.506814, valid_loss=-113.756908
Epoch: 44, train_loss=-113.352281, valid_loss=-113.748157
Epoch: 45, train_loss=-113.251487, valid_loss=-113.533187
Epoch: 46, train_loss=-113.125444, valid_loss=-113.376239
Epoch: 47, train_loss=-112.992134, valid_loss=-113.266254
Epoch: 48, train_loss=-112.930503, valid_loss=-113.385393
Epoch: 49, train_loss=-112.729807, valid_loss=-113.128086
Epoch: 50, train_loss=-112.732132, valid_loss=-113.048895
Epoch: 51, train_loss=-112.569727, valid_loss=-112.900356
Epoch: 52, train_loss=-112.570774, valid_loss=-112.928730
Epoch: 53, train_loss=-112.445070, valid_loss=-112.695783
Epoch: 54, train_loss=-112.235022, valid_loss=-112.625573
Epoch: 55, train_loss=-112.123498, valid_loss=-112.583784
Epoch: 56, train_loss=-112.091560, valid_loss=-112.492585
Epoch: 57, train_loss=-111.997199, valid_loss=-112.470413
Epoch: 58, train_loss=-111.978990, valid_loss=-112.301555
Epoch: 59, train_loss=-111.797675, valid_loss=-112.165353
Epoch: 60, train_loss=-111.772248, valid_loss=-112.089249
Epoch: 61, train_loss=-111.591286, valid_loss=-112.060587
Epoch: 62, train_loss=-111.622925, valid_loss=-112.000209
Epoch: 63, train_loss=-111.497013, valid_loss=-111.957320
Epoch: 64, train_loss=-111.443595, valid_loss=-111.798965
Epoch: 65, train_loss=-111.352473, valid_loss=-111.853396
Epoch: 66, train_loss=-111.228934, valid_loss=-111.772354
Epoch: 67, train_loss=-111.217143, valid_loss=-111.524981
Epoch: 68, train_loss=-111.211504, valid_loss=-111.474208
Epoch: 69, train_loss=-111.106454, valid_loss=-111.445211
Epoch: 70, train_loss=-110.990918, valid_loss=-111.331969
Epoch: 71, train_loss=-110.943831, valid_loss=-111.327848
Epoch: 72, train_loss=-110.905634, valid_loss=-111.303145
Epoch: 73, train_loss=-110.799100, valid_loss=-111.180044
Epoch: 74, train_loss=-110.752517, valid_loss=-111.232499
Epoch: 75, train_loss=-110.649553, valid_loss=-111.029136
Epoch: 76, train_loss=-110.623585, valid_loss=-111.052024
Epoch: 77, train_loss=-110.554609, valid_loss=-110.980181
